date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:36:23	251024/251024	---M--	200	added ('OK')	image/jpeg	etag:%223d490-5879601057741%22	http://localhost:8081/wp-content/uploads/2018/07/7-2.jpg	localhost_8081/wp-content/uploads/2018/07/7-2.jpg	(from http://localhost:8081/?page_id=848)
03:36:23	53472/53472	---M--	200	added ('OK')	image/jpeg	etag:%22d0e0-58795f6292b19%22	http://localhost:8081/wp-content/uploads/2016/11/8-2-2.jpg	localhost_8081/wp-content/uploads/2016/11/8-2-2.jpg	(from http://localhost:8081/?page_id=848)
03:36:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202019%2010:36:24%20GMT	http://localhost:8081/?p=848	localhost_8081/indexab1b.html	(from http://localhost:8081/?page_id=848)
03:36:38	62021/62021	---M--	200	added ('OK')	image/jpeg	etag:%22f245-587960012ba24%22	http://localhost:8081/wp-content/uploads/2018/06/6-2.jpg	localhost_8081/wp-content/uploads/2018/06/6-2.jpg	(from http://localhost:8081/?page_id=848)
03:36:50	49202/49202	---M--	200	added ('OK')	image/jpeg	etag:%22c032-5879601d4ae8b%22	http://localhost:8081/wp-content/uploads/2017/02/5-1-2.jpg	localhost_8081/wp-content/uploads/2017/02/5-1-2.jpg	(from http://localhost:8081/?page_id=848)
03:36:51	20090/20090	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:36:50%20GMT	http://localhost:8081/?portfolio=instantly-suffering	localhost_8081/index2e5c.html	(from http://localhost:8081/?page_id=848)
03:36:54	2199/2199	---M--	200	added ('OK')	application/json	date:Wed,%2001%20May%202019%2010:36:51%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D2354	localhost_8081/index0564.json	(from http://localhost:8081/?page_id=2354)
03:36:56	193115/193115	---M--	200	added ('OK')	image/jpeg	etag:%222f25b-58796013bf87d%22	http://localhost:8081/wp-content/uploads/2016/12/35-2.jpg	localhost_8081/wp-content/uploads/2016/12/35-2.jpg	(from http://localhost:8081/?page_id=848)
03:36:56	2300/2300	---M-Z	200	added ('OK')	text/xml	date:Wed,%2001%20May%202019%2010:36:54%20GMT	http://localhost:8081/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8081%2F%3Fpage_id%3D2354&format=xml	localhost_8081/index1669.php	(from http://localhost:8081/?page_id=2354)
03:36:58	20116/20116	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:36:57%20GMT	http://localhost:8081/?portfolio=on-merits-on-valley	localhost_8081/index0fb7.html	(from http://localhost:8081/?page_id=848)
03:37:17	293505/293505	---M--	200	added ('OK')	image/jpeg	etag:%2247a81-58795fb954db3%22	http://localhost:8081/wp-content/uploads/2017/10/18-2.jpg	localhost_8081/wp-content/uploads/2017/10/18-2.jpg	(from http://localhost:8081/?page_id=848)
03:37:18	109585/109585	---M--	200	added ('OK')	image/jpeg	etag:%221ac11-58796015898ac%22	http://localhost:8081/wp-content/uploads/2016/12/36-2.jpg	localhost_8081/wp-content/uploads/2016/12/36-2.jpg	(from http://localhost:8081/?page_id=2354)
03:37:18	30611/30611	---M-Z	200	added ('OK')	text/css	etag:%227793-58795e235bf1f-gzip%22	http://localhost:8081/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.7	localhost_8081/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.b6e23c.delayed	(from http://localhost:8081/?page_id=2354)
03:37:20	20143/20143	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:37:19%20GMT	http://localhost:8081/?portfolio=nay-middleton-him	localhost_8081/index0f21.html	(from http://localhost:8081/?page_id=848)
03:37:20	20124/20124	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:37:18%20GMT	http://localhost:8081/?portfolio=year-kept-on-over	localhost_8081/indexccb9.html	(from http://localhost:8081/?page_id=848)
03:37:22	19965/19965	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:37:20%20GMT	http://localhost:8081/?portfolio=is-easy-took-he	localhost_8081/indexa9d5.html	(from http://localhost:8081/?page_id=848)
03:37:22	20179/20179	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20May%202019%2010:37:20%20GMT	http://localhost:8081/?portfolio=connection-instrument	localhost_8081/indexc274.html	(from http://localhost:8081/?page_id=848)
